did,oid,eid,sid,ent,density,density_D,flow,flow_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,spdh,spdh_D,travel,travel_D,traveltime,traveltime_D,vWait,vWait_D,vIn,vIn_D,vOut,vOut_D,totalDistanceTraveledInside,totalDistanceTraveledInside_D,totalTravelTimeInside,totalTravelTimeInside_D,totalWaitingTime,totalWaitingTime_D,vLostIn,vLostIn_D,vLostOut,vLostOut_D,qmean,qmean_D,qvmean,qvmean_D,qvmax,qvmax_D,missedTurnings,missedTurnings_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D,totalNStops,totalNStops_D,fuelc,fuelc_D
182121,182121,,2,6,0.024236906,-1,36,-1,48,-1,8,-1,211.8174637,31.80266933,39.4262076,14.44031751,0,0,17.38536925,3.144303697,16.99576577,2.573248815,15.9242146,-1,0.942062728,-1,95,-1,35,-1,6,-1,26.61687834,-1,9.701693786,-1,14.48333333,-1,0,-1,0,-1,47.34,-1,86.968,-1,95,-1,0,-1,0,-1,20,-1,10.64901431,5.7676775,0,-1,49,-1,2.156825022,-1
182121,182121,,3,6,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,4,6,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,5,6,0,-1,0,-1,12,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,24,-1,0,-1,8.61193302,-1,4.002470281,-1,0,-1,0,-1,0,-1,17.62133333,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,0,0,5.639109183,-1,4867,-1,17841,-1,17841,-1,95.1145284,34.01754148,26.5524035,31.58794844,361.037206,370.5913318,40.40473728,8.365134817,37.84910739,9.835055168,21851.73944,-1,546.3112775,-1,8941414,-1,12641,-1,4867,-1,2621.852581,-1,19251.86988,-1,4830358.407,-1,0,-1,0,-1,10647.96822,-1,4808855.985,-1,8941414,-1,170,-1,5.38809899,-1,13508,-1,13.60602205,27.2929751,0,-1,11849,-1,1839.820207,-1
182121,182121,,1,0,5.617434694,-1,4840,-1,17742,-1,17742,-1,94.50907702,33.01555445,26.51147418,31.65556992,363.0385936,370.6501715,40.52770213,8.219379172,38.09157928,9.633055929,21768.09633,-1,541.7558094,-1,8941319,-1,12582,-1,4840,-1,2586.623769,-1,19201.33929,-1,4830312.022,-1,0,-1,0,-1,10610.45844,-1,4808809.559,-1,8941319,-1,170,-1,5.355789542,-1,13427,-1,13.6374468,27.35952599,0,-1,11587,-1,1826.798732,-1
182121,182121,,2,0,0.016006448,-1,26,-1,77,-1,77,-1,205.9752902,36.13331462,33.67289413,13.78630504,2.357255336,9.808554221,18.10093222,3.724845617,17.47782463,3.300085653,76.33322542,-1,4.26486081,-1,95,-1,35,-1,26,-1,26.61687834,-1,36.43970142,-1,46.38527778,-1,0,-1,0,-1,28.68644444,-1,46.42577778,-1,95,-1,0,-1,0.031910566,-1,80,-1,7.761753272,8.048240837,0,-1,231,-1,9.328274942,-1
182121,182121,,3,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,4,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,5,0,0,-1,1,-1,22,-1,22,-1,143.1194035,-1,39.5175523,-1,0,-1,25.153822,-1,25.153822,0,7.309882428,-1,0.290607226,-1,0,-1,24,-1,1,-1,8.61193302,-1,14.09088695,-1,0,-1,0,-1,0,-1,8.829555556,-1,0,-1,0,-1,0,-1,0,-1,1,-1,13.46122882,-1,0.012365344,-1,31,-1,3.69320016,-1
