did,oid,eid,sid,ent,npollutant_K,vpollutant,vpollutant_D
182121,182121,,1,5,2.0,1.80688995677763,-1.0
182121,182121,,2,5,0.0,0.571385205486418,-1.0
182121,182121,,2,5,1.0,0.074805597858876,-1.0
182121,182121,,2,5,2.0,0.223746481451392,-1.0
182121,182121,,3,5,0.0,0.0,-1.0
182121,182121,,3,5,1.0,0.0,-1.0
182121,182121,,3,5,2.0,0.0,-1.0
182121,182121,,4,5,0.0,0.0,-1.0
182121,182121,,4,5,1.0,0.0,-1.0
182121,182121,,4,5,2.0,0.0,-1.0
182121,182121,,5,5,0.0,0.168510401386023,-1.0
182121,182121,,5,5,1.0,0.0116655997224152,-1.0
182121,182121,,5,5,2.0,0.0195952000319958,-1.0
182121,182121,,0,6,0.0,22.2792294740438,-1.0
182121,182121,,0,6,1.0,0.200111122716524,-1.0
182121,182121,,0,6,2.0,1.94129260086461,-1.0
182121,182121,,1,6,0.0,21.5878205077233,-1.0
182121,182121,,1,6,1.0,0.115701525010809,-1.0
182121,182121,,1,6,2.0,1.71013523975202,-1.0
182121,182121,,2,6,0.0,0.543784964895249,-1.0
182121,182121,,2,6,1.0,0.0722703980088235,-1.0
182121,182121,,2,6,2.0,0.207698161028326,-1.0
182121,182121,,3,6,0.0,0.0,-1.0
182121,182121,,3,6,1.0,0.0,-1.0
182121,182121,,3,6,2.0,0.0,-1.0
182121,182121,,4,6,0.0,0.0,-1.0
182121,182121,,4,6,1.0,0.0,-1.0
182121,182121,,4,6,2.0,0.0,-1.0
182121,182121,,5,6,0.0,0.147624001425505,-1.0
182121,182121,,5,6,1.0,0.0121391996968538,-1.0
182121,182121,,5,6,2.0,0.0234592000842094,-1.0
182121,182121,,0,0,0.0,722.656336884416,-1.0
182121,182121,,0,0,1.0,4.21921939115744,-1.0
182121,182121,,0,0,2.0,57.2570263363169,-1.0
182121,182121,,1,0,0.0,717.242570670473,-1.0
182121,182121,,1,0,1.0,3.55685780983897,-1.0
182121,182121,,1,0,2.0,55.3649173642146,-1.0
182121,182121,,2,0,0.0,4.21289020275177,-1.0
182121,182121,,2,0,1.0,0.567189583752301,-1.0
182121,182121,,2,0,2.0,1.70630737116184,-1.0
182121,182121,,3,0,0.0,0.0,-1.0
182121,182121,,3,0,1.0,0.0,-1.0
182121,182121,,3,0,2.0,0.0,-1.0
182121,182121,,4,0,0.0,0.0,-1.0
182121,182121,,4,0,1.0,0.0,-1.0
182121,182121,,4,0,2.0,0.0,-1.0
182121,182121,,5,0,0.0,1.20087601110339,-1.0
182121,182121,,5,0,1.0,0.0951719975725748,-1.0
182121,182121,,5,0,2.0,0.185801600956917,-1.0
181201,181201,,0,1,0.0,359.375608795201,-1.0
181201,181201,,0,1,1.0,1.88870061753009,-1.0
181201,181201,,0,1,2.0,27.9475151956109,-1.0
181201,181201,,1,1,0.0,358.550289826508,-1.0
181201,181201,,1,1,1.0,1.76878222095337,-1.0
181201,181201,,1,1,2.0,27.594992153289,-1.0
181201,181201,,2,1,0.0,0.825318968695401,-1.0
181201,181201,,2,1,1.0,0.119918396575749,-1.0
181201,181201,,2,1,2.0,0.352523042321206,-1.0
181201,181201,,3,1,0.0,0.0,-1.0
181201,181201,,3,1,1.0,0.0,-1.0
181201,181201,,3,1,2.0,0.0,-1.0
181201,181201,,4,1,0.0,0.0,-1.0
181201,181201,,4,1,1.0,0.0,-1.0
181201,181201,,4,1,2.0,0.0,-1.0
181201,181201,,0,2,0.0,181.006666992401,-1.0
181201,181201,,0,2,1.0,1.13504050093508,-1.0
181201,181201,,0,2,2.0,14.7895634279557,-1.0
181201,181201,,1,2,0.0,180.237247543074,-1.0
181201,181201,,1,2,1.0,1.02107490430194,-1.0
181201,181201,,1,2,2.0,14.4372739051693,-1.0
181201,181201,,2,2,0.0,0.769419449332355,-1.0
181201,181201,,2,2,1.0,0.113965596631915,-1.0
181201,181201,,2,2,2.0,0.35228952278495,-1.0
181201,181201,,3,2,0.0,0.0,-1.0
181201,181201,,3,2,1.0,0.0,-1.0
181201,181201,,3,2,2.0,0.0,-1.0
181201,181201,,4,2,0.0,0.0,-1.0
181201,181201,,4,2,1.0,0.0,-1.0
181201,181201,,4,2,2.0,0.0,-1.0
181201,181201,,0,3,0.0,107.83382753613,-1.0
181201,181201,,0,3,1.0,0.7577644110136,-1.0
181201,181201,,0,3,2.0,9.1549538036035,-1.0
181201,181201,,1,3,0.0,107.293337849694,-1.0
181201,181201,,1,3,1.0,0.679138813275948,-1.0
181201,181201,,1,3,2.0,8.9180813220115,-1.0
181201,181201,,2,3,0.0,0.540489686435462,-1.0
181201,181201,,2,3,1.0,0.0786255977377296,-1.0
181201,181201,,2,3,2.0,0.236872481590509,-1.0
181201,181201,,3,3,0.0,0.0,-1.0
181201,181201,,3,3,1.0,0.0,-1.0
181201,181201,,3,3,2.0,0.0,-1.0
181201,181201,,4,3,0.0,0.0,-1.0
181201,181201,,4,3,1.0,0.0,-1.0
181201,181201,,4,3,2.0,0.0,-1.0
181201,181201,,0,4,0.0,84.7101450445189,-1.0
181201,181201,,0,4,1.0,0.594763289603556,-1.0
181201,181201,,0,4,2.0,7.16917625192778,-1.0
181201,181201,,1,4,0.0,84.2136357595957,-1.0
181201,181201,,1,4,1.0,0.522207291597899,-1.0
181201,181201,,1,4,2.0,6.96866865094683,-1.0
181201,181201,,2,4,0.0,0.496509284922482,-1.0
181201,181201,,2,4,1.0,0.0725559980057181,-1.0
181201,181201,,2,4,2.0,0.200507600980997,-1.0
181201,181201,,3,4,0.0,0.0,-1.0
181201,181201,,3,4,1.0,0.0,-1.0
181201,181201,,3,4,2.0,0.0,-1.0
181201,181201,,4,4,0.0,0.0,-1.0
181201,181201,,4,4,1.0,0.0,-1.0
181201,181201,,4,4,2.0,0.0,-1.0
181201,181201,,0,5,0.0,37.6366334415343,-1.0
181201,181201,,0,5,1.0,0.270441686198262,-1.0
181201,181201,,0,5,2.0,3.13856569149676,-1.0
181201,181201,,1,5,0.0,37.0866963164104,-1.0
181201,181201,,1,5,1.0,0.195867288218618,-1.0
181201,181201,,1,5,2.0,2.92460281058474,-1.0
181201,181201,,2,5,0.0,0.549937125122548,-1.0
181201,181201,,2,5,1.0,0.0745743979796768,-1.0
181201,181201,,2,5,2.0,0.213962880912423,-1.0
181201,181201,,3,5,0.0,0.0,-1.0
181201,181201,,3,5,1.0,0.0,-1.0
181201,181201,,3,5,2.0,0.0,-1.0
181201,181201,,4,5,0.0,0.0,-1.0
181201,181201,,4,5,1.0,0.0,-1.0
181201,181201,,4,5,2.0,0.0,-1.0
181201,181201,,0,6,0.0,24.3222516856312,-1.0
181201,181201,,0,6,1.0,0.202649842685702,-1.0
181201,181201,,0,6,2.0,2.11070915463975,-1.0
181201,181201,,1,6,0.0,23.8787836809695,-1.0
181201,181201,,1,6,1.0,0.136769844475597,-1.0
181201,181201,,1,6,2.0,1.92526123381826,-1.0
181201,181201,,2,6,0.0,0.4434680046618,-1.0
181201,181201,,2,6,1.0,0.0658799982100725,-1.0
181201,181201,,2,6,2.0,0.185447920821607,-1.0
181201,181201,,3,6,0.0,0.0,-1.0
181201,181201,,3,6,1.0,0.0,-1.0
181201,181201,,3,6,2.0,0.0,-1.0
181201,181201,,4,6,0.0,0.0,-1.0
181201,181201,,4,6,1.0,0.0,-1.0
181201,181201,,4,6,2.0,0.0,-1.0
181201,181201,,0,0,0.0,794.885133501553,-1.0
181201,181201,,0,0,1.0,4.84936034795621,-1.0
181201,181201,,0,0,2.0,64.3104835244287,-1.0
181201,181201,,1,0,0.0,791.259990982327,-1.0
181201,181201,,1,0,1.0,4.32384036283559,-1.0
181201,181201,,1,0,2.0,62.7688800750328,-1.0
181201,181201,,2,0,0.0,3.62514251917008,-1.0
181201,181201,,2,0,1.0,0.525519985140854,-1.0
181201,181201,,2,0,2.0,1.54160344941166,-1.0
181201,181201,,3,0,0.0,0.0,-1.0
181201,181201,,3,0,1.0,0.0,-1.0
181201,181201,,3,0,2.0,0.0,-1.0
181201,181201,,4,0,0.0,0.0,-1.0
181201,181201,,4,0,1.0,0.0,-1.0
181201,181201,,4,0,2.0,0.0,-1.0
